id,setId,number,name,set_code,set_name,rarity,color,type,slug,hp,stage,attack,ability,text,weakness,retreat,rule
A1-218,A1,218,Old Amber,A1,Genetic Apex,Common,,Fossil,a1-218-old-amber,40,Item,,,,,,You may play any number of Item cards during your turn.
A1-283,A1,283,Mew,A1,Genetic Apex,Immersive Rare,Psychic,Pokemon,a1-283-mew,60,Basic,"[{""info"": ""{P} Psy Report 20"", ""effect"": ""Your opponent reveals their hand.""}]",[],"Because it can use all kinds of moves, many<br />scientists believe Mew to be the ancestor<br />of Pokémon.",Darkness,1,
A1-001,A1,1,Bulbasaur,A1,Genetic Apex,Common,Grass,Pokemon,a1-1-bulbasaur,70,Basic,"[{""info"": ""{GC} Vine Whip 40"", ""effect"": """"}]",[],There is a plant seed on its back right from the<br />day this Pokémon is born. The seed slowly<br />grows larger.,Fire,1,
A1-002,A1,2,Ivysaur,A1,Genetic Apex,Uncommon,Grass,Pokemon,a1-2-ivysaur,90,Stage 1,"[{""info"": ""{GCC} Razor Leaf 60"", ""effect"": """"}]",[],"When the bulb on its back grows large, it<br />appears to lose the ability to stand on its<br />hind legs.",Fire,2,
A1-003,A1,3,Venusaur,A1,Genetic Apex,Rare,Grass,Pokemon,a1-3-venusaur,160,Stage 2,"[{""info"": ""{GGCC} Mega Drain 80"", ""effect"": ""Heal 30 damage from this Pok\u00e9mon.""}]",[],Its plant blooms when it is absorbing solar<br />energy. It stays on the move to seek sunlight.,Fire,3,
A1-004,A1,4,Venusaur ex,A1,Genetic Apex,Double Rare,Grass,Pokemon,a1-4-venusaur-ex,190,Stage 2,"[{""info"": ""{GCC} Razor Leaf 60"", ""effect"": """"}, {""info"": ""{GGCC} Giant Bloom 100"", ""effect"": ""Heal 30 damage from this Pok\u00e9mon.""}]",[],,Fire,3,"When your Pokémon <strong>ex</strong> is <strong>Knocked Out</strong>, your opponent gets <strong>2</strong> points."
A1-008,A1,8,Weedle,A1,Genetic Apex,Common,Grass,Pokemon,a1-8-weedle,50,Basic,"[{""info"": ""{G} Sting 20"", ""effect"": """"}]",[],"Often found in forests and grasslands.<br />It has a sharp, toxic barb of around two inches<br />on top of its head.",Fire,1,
A1-009,A1,9,Kakuna,A1,Genetic Apex,Common,Grass,Pokemon,a1-9-kakuna,80,Stage 1,"[{""info"": ""{G} Bug Bite 30"", ""effect"": """"}]",[],"Almost incapable of moving, this Pokémon can only<br />harden its shell to protect itself when it is<br />in danger.",Fire,2,
A1-010,A1,10,Beedrill,A1,Genetic Apex,Rare,Grass,Pokemon,a1-10-beedrill,120,Stage 2,"[{""info"": ""{G} Sharp Sting 70"", ""effect"": """"}]",[],It has three poisonous stingers on its forelegs and<br />its tail. They are used to jab its enemy repeatedly.,Fire,1,
A1-016,A1,16,Venonat,A1,Genetic Apex,Common,Grass,Pokemon,a1-16-venonat,60,Basic,"[{""info"": ""{G} Tackle 20"", ""effect"": """"}]",[],Poison oozes from all over its body. It catches<br />small bug Pokémon at night that are attracted<br />by light.,Fire,1,
A1-017,A1,17,Venomoth,A1,Genetic Apex,Uncommon,Grass,Pokemon,a1-17-venomoth,80,Stage 1,"[{""info"": ""{G} Poison Powder 30"", ""effect"": ""Your opponent's Active Pok\u00e9mon is now Poisoned.""}]",[],"The wings are covered with dustlike scales. Every<br />time it flaps its wings, it looses highly toxic dust.",Fire,1,
A1-025,A1,25,Scyther,A1,Genetic Apex,Common,Grass,Pokemon,a1-25-scyther,70,Basic,"[{""info"": ""{G} Sharp Scythe 30"", ""effect"": """"}]",[],"It slashes through grass with its sharp<br />scythes, moving too fast for the human<br />eye to track.",Fire,1,
A1-026,A1,26,Pinsir,A1,Genetic Apex,Uncommon,Grass,Pokemon,a1-26-pinsir,90,Basic,"[{""info"": ""{GG} Double Horn 50x"", ""effect"": ""Flip 2 coins. This attack does 50 damage for each heads.""}]",[],"These Pokémon judge one another based on<br />pincers. Thicker, more impressive pincers make<br />for more popularity with the opposite gender.",Fire,2,
A1-028,A1,28,Whimsicott,A1,Genetic Apex,Uncommon,Grass,Pokemon,a1-28-whimsicott,80,Stage 1,"[{""info"": ""{C} Rolling Tackle 40"", ""effect"": """"}]",[],"It scatters cotton all over the place as a prank. If<br />it gets wet, it’ll become too heavy to move and<br />have no choice but to answer for its mischief.",Fire,1,
A1-029,A1,29,Petilil,A1,Genetic Apex,Common,Grass,Pokemon,a1-29-petilil,60,Basic,"[{""info"": ""{G} Blot 10"", ""effect"": ""Heal 10 damage from this Pok\u00e9mon.""}]",[],The leaves on its head grow right back even if<br />they fall out. These bitter leaves refresh those<br />who eat them.,Fire,1,
A1-030,A1,30,Lilligant,A1,Genetic Apex,Uncommon,Grass,Pokemon,a1-30-lilligant,100,Stage 1,"[{""info"": ""{GG} Leaf Supply 50"", ""effect"": ""Take a {G} Energy from your Energy Zone and attach it to 1 of your Benched {G} Pok\u00e9mon.""}]",[],"The fragrance of the garland on its head has<br />a relaxing effect, but taking care of it is very<br />difficult.",Fire,1,
A1-042,A1,42,Ponyta,A1,Genetic Apex,Common,Fire,Pokemon,a1-42-ponyta,60,Basic,"[{""info"": ""{R} Flare 20"", ""effect"": """"}]",[],"It can’t run properly when it’s newly born.<br />As it races around with others of its kind,<br />its legs grow stronger.",Water,1,
A1-048,A1,48,Heatmor,A1,Genetic Apex,Common,Fire,Pokemon,a1-48-heatmor,80,Basic,"[{""info"": ""{R} Combustion 30"", ""effect"": """"}]",[],"There’s a hole in its tail that allows it to draw in<br />the air it needs to keep its fire burning. If the<br />hole gets blocked, this Pokémon will fall ill.",Water,1,
A1-049,A1,49,Salandit,A1,Genetic Apex,Common,Fire,Pokemon,a1-49-salandit,60,Basic,"[{""info"": ""{R} Scratch 20"", ""effect"": """"}]",[],"It taunts its prey and lures them into narrow,<br />rocky areas where it then sprays them with toxic<br />gas to make them dizzy and take them down.",Water,1,
A1-050,A1,50,Salazzle,A1,Genetic Apex,Common,Fire,Pokemon,a1-50-salazzle,90,Stage 1,"[{""info"": ""{RC} Fire Claws 60"", ""effect"": """"}]",[],"Salazzle makes its opponents light-headed with<br />poisonous gas, then captivates them with alluring<br />movements to turn them into loyal servants.",Water,1,
A1-052,A1,52,Centiskorch,A1,Genetic Apex,Uncommon,Fire,Pokemon,a1-52-centiskorch,130,Stage 1,"[{""info"": ""{RCCC} Fire Blast 130"", ""effect"": ""Discard a {R} Energy from this Pok\u00e9mon.""}]",[],"When it heats up, its body temperature reaches<br />about 1,500 degrees Fahrenheit. It lashes its<br />body like a whip and launches itself at enemies.",Water,3,
A1-062,A1,62,Tentacool,A1,Genetic Apex,Common,Water,Pokemon,a1-62-tentacool,60,Basic,"[{""info"": ""{W} Gentle Slap 20"", ""effect"": """"}]",[],Tentacool is not a particularly strong swimmer.<br />It drifts across the surface of shallow seas as it<br />searches for prey.,Lightning,1,
A1-063,A1,63,Tentacruel,A1,Genetic Apex,Uncommon,Water,Pokemon,a1-63-tentacruel,110,Stage 1,"[{""info"": ""{WC} Poison Tentacles 50"", ""effect"": ""Your opponent's Active Pok\u00e9mon is now Poisoned.""}]",[],"When the red orbs on Tentacruel’s head glow<br />brightly, watch out. The Pokémon is about to<br />fire off a burst of ultrasonic waves.",Lightning,2,
A1-066,A1,66,Shellder,A1,Genetic Apex,Common,Water,Pokemon,a1-66-shellder,60,Basic,"[{""info"": ""{W} Tongue Slap 20"", ""effect"": """"}]",[],"It is encased in a shell that is harder than diamond.<br />Inside, however, it is surprisingly tender.",Lightning,1,
A1-067,A1,67,Cloyster,A1,Genetic Apex,Uncommon,Water,Pokemon,a1-67-cloyster,120,Stage 1,"[{""info"": ""{WWC} Surf 70"", ""effect"": """"}]","[{""info"": ""Shell Armor"", ""effect"": ""This Pok\u00e9mon takes \u221210 damage from attacks.""}]","Cloyster that live in seas with harsh tidal currents<br />grow large, sharp spikes on their shells.",Lightning,3,
A1-068,A1,68,Krabby,A1,Genetic Apex,Common,Water,Pokemon,a1-68-krabby,70,Basic,"[{""info"": ""{WC} Vise Grip 40"", ""effect"": """"}]",[],It can be found near the sea. The large pincers<br />grow back if they are torn out of their sockets.,Lightning,2,
A1-069,A1,69,Kingler,A1,Genetic Apex,Uncommon,Water,Pokemon,a1-69-kingler,120,Stage 1,"[{""info"": ""{WWC} KO Crab 80+"", ""effect"": ""Flip 2 coins. If both of them are heads, this attack does 80 more damage.""}]",[],"Its large and hard pincer has 10,000-horsepower<br />strength. However, being so big, it is unwieldy<br />to move.",Lightning,3,
